,drink,volume,calories,caffeine,type
0,Costa Coffee,256.99371499999995,0,277,Coffee
1,Coffee Friend Brewed Coffee,250.19181000000003,0,145,Coffee
2,Hell Energy Coffee,250.19181000000003,150,100,Coffee
3,Killer Coffee (AU),250.19181000000003,0,430,Coffee
4,Nescafe Gold,250.19181000000003,0,66,Coffee
5,Espresso Monster,248.4174,170,160,Coffee
6,Dunkin Donuts Shot In The Dark,239.54535,80,134,Coffee
7,Illy Issimo Cafe,201.0998,45,155,Coffee
8,Starbucks Doubleshot Espresso,192.22775,140,120,Coffee
9,TrueStart Performance Coffee,150.82485,0,95,Coffee
10,Bizzy Cold Brew,78.96124499999999,0,125,Coffee
11,Zola Coconut Water Espresso,517.53625,0,125,Coffee
12,Barista Bros Iced Coffee,500.087885,204,140,Coffee
13,Dare Iced Coffee,500.087885,429,160,Coffee
14,V Iced Coffee,500.087885,345,155,Coffee
15,Bottled Iced Coffee Dunkin Donuts,405.15695,260,171,Coffee
16,Starbucks Bottled Frappuccino,405.15695,300,110,Coffee
17,Stok Cold Brew,405.15695,0,145,Coffee
18,Wide Awake Iced Coffee Drinks,405.15695,290,30,Coffee
19,Caribou Canned Cold Brew,340.09525,10,177,Coffee
20,McDonalds Iced Coffee,340.09525,180,133,Coffee
21,Premier Protein Cafe Latte,340.09525,160,120,Coffee
22,Stumptown Cold Brew Coffee,310.52175,3,279,Coffee
23,Espresso Shot,44.36025,0,77,Coffee
24,Peet's Coffee Espresso,44.36025,0,70,Coffee
25,Peet's Decaf Espresso,44.36025,0,10,Coffee
26,Gourmesso Coffee Pods,39.924225,0,65,Coffee
27,Nespresso Coffee Capsules,39.924225,0,60,Coffee
28,Stok Coffee Shots,12.716605,10,40,Coffee
29,Starbucks Bottled Iced Coffee,1419.528,240,640,Coffee
30,Baskin Robbins Cappuccino Blast,709.764,470,234,Coffee
31,Dunkin' Cold Brew,709.764,5,260,Coffee
32,Dunkin' Donuts Iced Coffee,709.764,20,297,Coffee
33,Dunkin' Donuts Iced Latte,709.764,100,166,Coffee
34,Dutch Bros Coffee (Classic),591.47,10,187,Coffee
35,Tim Hortons Large Brewed Coffee,591.47,5,270,Coffee
36,7 Eleven Brewed Coffee,473.176,5,280,Coffee
37,Arby's Jamocha Shake,473.176,830,12,Coffee
38,Biggby Brewed Coffee,473.176,0,200,Coffee
39,Biggby Creamy Lattes,473.176,387,100,Coffee
40,Biggby Iced Coffee,473.176,0,155,Coffee
41,Caribou Brewed Coffee,473.176,5,305,Coffee
42,Coffee Bean & Tea leaf Coffee,473.176,5,333,Coffee
43,Einstein Bros Coffee,473.176,0,206,Coffee
44,Latte,473.176,160,154,Coffee
45,McDonalds (McCafe) Latte,473.176,190,142,Coffee
46,McDonalds (McCafe) Mocha,473.176,380,167,Coffee
47,McDonalds Coffee,473.176,0,145,Coffee
48,Panera Bread Coffee,473.176,15,189,Coffee
49,Peet's Brewed Coffee,473.176,5,267,Coffee
50,Peet's Caffe Americano,473.176,10,140,Coffee
51,Peet's Caffe Latte,473.176,190,140,Coffee
52,Peet's Caffe Mocha,473.176,390,165,Coffee
53,Peet's Cappuccino,473.176,140,140,Coffee
