"","Nest","FoodTreatment","SexParent","ArrivalTime","SiblingNegotiation","BroodSize","NegPerChick","logBroodSize"
"1","AutavauxTV","Deprived","Male",22.25,4,5,0.8,1.6094379124341
"2","AutavauxTV","Satiated","Male",22.38,0,5,0,1.6094379124341
"3","AutavauxTV","Deprived","Male",22.53,2,5,0.4,1.6094379124341
"4","AutavauxTV","Deprived","Male",22.56,2,5,0.4,1.6094379124341
"5","AutavauxTV","Deprived","Male",22.61,2,5,0.4,1.6094379124341
"6","AutavauxTV","Deprived","Male",22.65,2,5,0.4,1.6094379124341
"7","AutavauxTV","Deprived","Male",22.76,18,5,3.6,1.6094379124341
"8","AutavauxTV","Satiated","Female",22.9,4,5,0.8,1.6094379124341
"9","AutavauxTV","Deprived","Male",22.98,18,5,3.6,1.6094379124341
"10","AutavauxTV","Satiated","Female",23.07,0,5,0,1.6094379124341
"11","AutavauxTV","Satiated","Female",23.18,0,5,0,1.6094379124341
"12","AutavauxTV","Deprived","Female",23.28,3,5,0.6,1.6094379124341
"13","AutavauxTV","Satiated","Male",23.38,0,5,0,1.6094379124341
"14","AutavauxTV","Deprived","Male",23.43,3,5,0.6,1.6094379124341
"15","AutavauxTV","Deprived","Female",23.45,3,5,0.6,1.6094379124341
"16","AutavauxTV","Deprived","Male",23.68,6,5,1.2,1.6094379124341
"17","AutavauxTV","Deprived","Female",24,0,5,0,1.6094379124341
"18","AutavauxTV","Satiated","Male",24.21,4,5,0.8,1.6094379124341
"19","AutavauxTV","Deprived","Male",24.25,0,5,0,1.6094379124341
"20","AutavauxTV","Deprived","Male",24.58,7,5,1.4,1.6094379124341
"21","AutavauxTV","Deprived","Male",24.65,7,5,1.4,1.6094379124341
"22","AutavauxTV","Satiated","Male",24.95,0,5,0,1.6094379124341
"23","AutavauxTV","Satiated","Female",25.25,16,5,3.2,1.6094379124341
"24","AutavauxTV","Satiated","Male",25.75,7,5,1.4,1.6094379124341
"25","AutavauxTV","Deprived","Male",27.71,0,5,0,1.6094379124341
"26","AutavauxTV","Deprived","Female",27.85,7,5,1.4,1.6094379124341
"27","AutavauxTV","Deprived","Female",28.02,16,5,3.2,1.6094379124341
"28","AutavauxTV","Deprived","Male",28.82,5,5,1,1.6094379124341
"29","Bochet","Satiated","Female",22.81,3,4,0.75,1.38629436111989
"30","Bochet","Satiated","Male",23.2,2,4,0.5,1.38629436111989
"31","Bochet","Deprived","Male",23.22,13,4,3.25,1.38629436111989
"32","Bochet","Deprived","Female",23.23,13,4,3.25,1.38629436111989
"33","Bochet","Deprived","Male",23.33,22,4,5.5,1.38629436111989
"34","Bochet","Satiated","Male",23.36,2,4,0.5,1.38629436111989
"35","Bochet","Satiated","Female",23.4,2,4,0.5,1.38629436111989
"36","Bochet","Satiated","Male",23.45,2,4,0.5,1.38629436111989
"37","Bochet","Deprived","Male",23.46,22,4,5.5,1.38629436111989
