,Unnamed: 0,rownames,distcod,county,district,grspan,enrltot,teachers,calwpct,mealpct,computer,testscr,compstu,expnstu,str,avginc,elpct,readscr,mathscr
7,8,8,63834,Kern,Vineland Elementary,KK-08,888,42.5,18.8062992095947,100.0,66,609.0,0.0743243247270584,4565.74609375,20.8941173553467,8.17399978637695,46.9594612121582,605.5,612.5
16,17,17,63594,Kern,Lost Hills Union Elementary,KK-08,491,28.9200000762939,11.2016000747681,97.7596969604492,100,618.050048828125,0.203665986657143,6723.23779296875,16.9778690338135,6.21600008010864,85.5397186279297,611.700012207031,624.400024414063
17,18,18,63370,Kern,Buttonwillow Union Elementary,KK-08,421,25.5,8.55109977722168,77.9096984863281,50,618.300048828125,0.118764847517014,5589.88525390625,16.5098037719727,7.76399993896484,58.9073638916016,614.900024414062,621.700012207031
18,19,19,64709,Los Angeles,Lennox Elementary,KK-08,6880,303.029998779297,21.2824001312256,94.9711990356445,960,619.799987792969,0.139534890651703,5064.61572265625,22.7040233612061,7.02199983596802,77.0058135986328,619.099975585937,620.5
19,20,20,63560,Kern,Lamont Elementary,KK-08,2688,135.0,23.4375,93.2292022705078,139,620.299987792969,0.0517113097012043,5433.59326171875,19.911111831665,5.69899988174438,49.8139877319336,621.299987792969,619.299987792969
22,23,23,63842,Kern,Wasco Union Elementary,KK-08,2538,130.5,18.9111003875732,70.8167037963867,169,621.75,0.0665878653526306,5107.08642578125,19.4482765197754,7.40500020980835,45.0748634338379,622.900024414062,620.599975585937
27,28,28,63313,Kern,Arvin Union Elementary,KK-08,2601,135.0,15.0711002349854,92.1952972412109,269,623.450012207031,0.10342176258564,5223.912109375,19.2666664123535,7.30499982833862,70.0115356445312,616.5,630.400024414062
30,31,31,68379,San Diego,San Ysidro Elementary,KK-08,4142,201.0,35.5625,81.5065002441406,569,624.550048828125,0.137373253703117,5342.2333984375,20.6069660186768,6.61299991607666,80.4200897216797,620.400024414062,628.700012207031
32,33,33,64816,Los Angeles,Mountain View Elementary,KK-08,10012,464.899993896484,29.7639007568359,91.5933990478516,721,625.299987792969,0.0720135867595673,5036.458984375,21.5358142852783,8.12661552429199,65.1218566894531,620.799987792969,629.799987792969
35,36,36,64758,Los Angeles,Los Nietos Elementary,KK-08,2267,103.680000305176,19.1516990661621,84.4337997436523,177,626.800048828125,0.0780767500400543,5272.19189453125,21.8653545379639,11.3325004577637,35.4653701782227,625.400024414062,628.200012207031
39,40,40,63578,Kern,Richland-Lerdo Union Elementary,KK-08,2471,121.860000610352,23.7959995269775,87.7781982421875,275,627.299987792969,0.111290976405144,5119.158203125,20.2773666381836,9.70899963378906,53.0554428100586,627.5,627.099975585938
42,43,43,63461,Kern,Fairfax Elementary,KK-08,1217,61.4000015258789,33.9080009460449,88.0951995849609,78,628.550048828125,0.0640920326113701,5485.49609375,19.8208465576172,8.17399978637695,30.3204593658447,629.400024414062,627.700012207031
43,44,44,63404,Kern,Delano Union Elementary,KK-08,6219,268.0,21.4986000061035,100.0,571,628.650024414062,0.0918154045939445,4793.3701171875,23.2052230834961,7.5,52.2431259155273,621.099975585937,636.200012207031
45,46,46,65078,Los Angeles,Valle Lindo Elementary,KK-08,1235,53.0,8.21829986572266,62.130199432373,175,629.800048828125,0.141700401902199,4359.52099609375,23.301887512207,7.33199977874756,30.2833995819092,630.200012207031,629.400024414062
47,48,48,63438,Kern,Edison Elementary,KK-08,814,39.0,19.7789001464844,67.4447021484375,85,630.400024414062,0.104422606527805,4518.01611328125,20.8717956542969,15.1770000457764,13.7592134475708,631.900024414062,628.900024414063
